"album_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","sentiment_score","album_images","album_release_year"
"808s & Heartbreak",0.631923076923077,0.465538461538462,6.07692307692308,-9.61553846153846,0.384615384615385,0.0573692307692308,0.263407692307692,0.137487808461538,0.284723076923077,0.347453846153846,116.262692307692,0.0221545707341041,"https://i.scdn.co/image/ab67616d00001e0265fbf56c2837be4879b5020a",2008
"Graduation",0.575857142857143,0.622928571428571,5.92857142857143,-7.31271428571429,0.571428571428571,0.185464285714286,0.11667,4.02285714285714e-05,0.299228571428571,0.519285714285714,100.129285714286,0.0401422025899291,"https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a",2007
"JESUS IS KING",0.566454545454545,0.539454545454545,4.90909090909091,-6.25345454545455,0.363636363636364,0.151118181818182,0.479577090909091,0.000223036363636364,0.301054545454545,0.380727272727273,102.289909090909,0.12701162280291,"https://i.scdn.co/image/ab67616d00001e021bb797bbfe2480650b6c2964",2019
"KIDS SEE GHOSTS",0.649,0.622142857142857,3.71428571428571,-6.09242857142857,0.571428571428571,0.118871428571429,0.247652857142857,0.00579922142857143,0.213571428571429,0.378428571428571,120.601,0.113141441314216,"https://i.scdn.co/image/ab67616d00001e02013c00ee367dd85396f79c82",2018
"Late Registration",0.619148148148148,0.605074074074074,6.07407407407407,-8.5307037037037,0.518518518518518,0.439725925925926,0.202859259259259,0.00170108444444444,0.205725925925926,0.532148148148148,101.903814814815,-0.0240103352354762,"https://i.scdn.co/image/ab67616d00001e02de720f487ec5a6a3cfad9ebb",2005
"My Beautiful Dark Twisted Fantasy",0.528653846153846,0.67845,4.69230769230769,-5.96576923076923,0.307692307692308,0.129942307692308,0.185668846153846,0.0447924961538462,0.380576923076923,0.365807692307692,112.471538461538,-0.0217137636922285,"https://i.scdn.co/image/ab67616d00001e025bd363295a677dacd0b4187b",2010
"The College Dropout",0.574272727272727,0.603818181818182,5.81818181818182,-7.65581818181818,0.5,0.406995454545455,0.360839090909091,6.24545454545455e-07,0.315090909090909,0.663681818181818,108.525909090909,0.0299063746969183,"https://i.scdn.co/image/ab67616d00001e02ba869545176c153a9542db2d",2004
"The Life Of Pablo",0.621,0.59085,6.05,-6.0367,0.65,0.27398,0.341461,0.0001161165,0.23974,0.410605,116.1468,0.0324190775584021,"https://i.scdn.co/image/ab67616d00001e022a7db835b912dc5014bd37f4",2016
"Watch The Throne",0.641666666666667,0.759666666666667,5.04166666666667,-5.877125,0.458333333333333,0.203754166666667,0.190483333333333,0.00222898666666667,0.250595833333333,0.443041666666667,121.664333333333,0.00862651675577056,"https://i.scdn.co/image/ab67616d00001e02bf2d62374f877d312b34e67a",2011
"ye",0.685857142857143,0.503428571428571,5,-5.66828571428571,0.285714285714286,0.314528571428571,0.306742857142857,0,0.185957142857143,0.281385714285714,121.362714285714,-0.0222870929500276,"https://i.scdn.co/image/ab67616d00001e020cd942c1a864afa4e92d04f2",2018
"Yeezus",0.5151,0.5891,4,-5.4181,0.6,0.18007,0.18412,8.9628e-05,0.15158,0.3608,131.4473,-0.0287717567401073,"https://i.scdn.co/image/ab67616d00001e021dacfbc31cc873d132958af9",2013
